file,pages,chars,output_txt
Amazon (AMZN) Q4 2025 Earnings Call Transcript | The Motley Fool.pdf,21,67799,Amazon (AMZN) Q4 2025 Earnings Call Transcript | The Motley Fool.txt
Amazon_10K_2025.pdf,126,284010,Amazon_10K_2025.txt
Amazon_10Q_2025Q3.pdf,78,181377,Amazon_10Q_2025Q3.txt
BAC+2024+Annual+Report.pdf,113,1001089,BAC+2024+Annual+Report.txt
BofA (BAC) Q4 2025 Earnings Call Transcript | The Motley Fool.pdf,30,95796,BofA (BAC) Q4 2025 Earnings Call Transcript | The Motley Fool.txt
Global Economic Prospects, January 2026.pdf,244,941977,Global Economic Prospects, January 2026.txt
Goldman Sachs (GS) Q4 2025 Earnings Transcript | The Motley Fool.pdf,29,93293,Goldman Sachs (GS) Q4 2025 Earnings Transcript | The Motley Fool.txt
GoldmanSachsBDC_10Q._2025Q2pdf.pdf,124,350464,GoldmanSachsBDC_10Q._2025Q2pdf.txt
Microsoft_10Q_2025Q3.pdf,105,220632,Microsoft_10Q_2025Q3.txt
NVIDIA_10Q_2025Q3.pdf,71,151466,NVIDIA_10Q_2025Q3.txt
Nvidia (NVDA) Q4 2025 Earnings Call Transcript | The Motley Fool.pdf,22,56127,Nvidia (NVDA) Q4 2025 Earnings Call Transcript | The Motley Fool.txt
The BEAT.pdf,83,145340,The BEAT.txt
Walmart (WMT) Q4 2026 Earnings Call Transcript | The Motley Fool.pdf,27,85062,Walmart (WMT) Q4 2026 Earnings Call Transcript | The Motley Fool.txt
aaple_10K_2025.pdf,92,206492,aaple_10K_2025.txt
aaple_10Q_2025Q1.pdf,36,71818,aaple_10Q_2025Q1.txt
aaple_10Q_2025Q4.pdf,32,57003,aaple_10Q_2025Q4.txt
capital-markets-forecast-2026.pdf,44,100338,capital-markets-forecast-2026.txt
ey-global-banking-outlook-2025-en.pdf,8,22733,ey-global-banking-outlook-2025-en.txt
goldman-sachs-2026-global-ma-outlook.pdf,18,35051,goldman-sachs-2026-global-ma-outlook.txt
jpm-4q25-earnings-call-transcript.pdf,20,103347,jpm-4q25-earnings-call-transcript.txt
meta_10K_2025.pdf,234,516752,meta_10K_2025.txt
microsoft_EC_2025Q2.pdf,39,49060,microsoft_EC_2025Q2.txt
tesla.pdf,35,50170,tesla.txt
tesla_10K_2025.pdf,184,396122,tesla_10K_2025.txt
tesla_10Q_2025Q3.pdf,58,126443,tesla_10Q_2025Q3.txt
